Year,Tonnes
1960,47000000
1961,56000000
1962,67000000
1963,80000000
1964,95000000
1965,112000000
1966,132000000
1967,155000000
1968,182000000
1969,214000000
1970,249000000
1971,287000000
1972,331000000
1973,382000000
1974,434000000
1975,480000000
1976,534000000
1977,593000000
1978,657000000
1979,728000000
1980,798000000
1981,870000000
1982,943000000
1983,1023000000
1984,1109000000
1985,1199000000
1986,1295000000
1987,1399000000
1988,1509000000
1989,1623000000
1990,1743000000
1991,1867000000
1992,1999000000
1993,2136000000
1994,2287000000
1995,2443000000
1996,2611000000
1997,2791000000
1998,2979000000
1999,3181000000
2000,3394000000
2001,3612000000
2002,3843000000
2003,4084000000
2004,4340000000
2005,4603000000
2006,4883000000
2007,5178000000
2008,5459000000
2009,5747000000
2010,6060000000
2011,6385000000
2012,6723000000
2013,7075000000
2014,7442000000
2015,7823000000
